Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,42.28,42.42,41.89,42.16,42.16,5822900
2022-04-19,42.09,42.72,41.97,42.61,42.61,5835000
2022-04-20,42.67,43.45,42.56,43.35,43.35,5487400
2022-04-21,43.33,44.48,43.24,44.0,44.0,9219400
2022-04-22,44.02,44.29,43.15,43.18,43.18,7307700
2022-04-25,43.06,43.17,42.07,43.04,43.04,6277500
2022-04-26,42.92,43.35,42.25,42.31,42.31,7364900
2022-04-27,42.18,43.3,41.78,42.88,42.88,7960700
2022-04-28,42.99,43.88,42.83,43.61,43.61,7386100
2022-04-29,43.41,43.72,42.56,42.63,42.63,6967100
2022-05-02,42.72,43.05,41.29,41.98,41.98,7637700
2022-05-03,42.1,42.66,41.51,42.38,42.38,6328300
2022-05-04,42.36,43.35,42.21,43.32,43.32,6499900
2022-05-05,42.98,43.52,42.9,43.14,43.14,7079100
2022-05-06,43.1,43.67,42.97,43.59,43.59,6368100
2022-05-09,43.46,44.65,43.29,44.19,44.19,9288000
2022-05-10,44.31,44.87,43.14,43.46,43.46,7641800
2022-05-11,43.3,44.13,43.23,43.5,43.5,6520500
2022-05-12,43.45,43.66,42.62,43.05,43.05,6604400
2022-05-13,43.02,44.31,43.01,44.29,44.29,7856900
2022-05-16,44.38,44.52,43.99,44.08,44.08,5795188
