Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,24.01,24.01,23.21,23.41,23.41,7261400
2021-11-05,24.43,24.95,24.0,24.34,24.34,4593900
2021-11-08,24.35,24.35,23.11,23.32,23.32,4050700
2021-11-09,23.28,23.66,23.22,23.25,23.25,2654300
2021-11-10,23.11,23.66,23.11,23.41,23.41,3302000
2021-11-11,23.43,23.83,23.32,23.8,23.8,2324000
2021-11-12,23.84,23.9,23.47,23.54,23.54,2735700
2021-11-15,23.75,24.0,23.68,23.87,23.87,2816600
2021-11-16,23.78,23.79,23.29,23.57,23.57,3405000
2021-11-17,23.45,23.85,23.13,23.83,23.83,2834200
2021-11-18,23.96,24.2,23.8,24.08,24.08,3571700
2021-11-19,23.96,24.01,23.69,23.87,23.87,3552800
2021-11-22,24.45,24.46,24.08,24.14,24.14,3689500
2021-11-23,24.08,24.43,24.02,24.18,24.18,2496100
2021-11-24,24.15,24.45,24.01,24.38,24.38,1936000
2021-11-26,23.59,23.59,22.81,23.24,23.24,2495900
2021-11-29,23.66,23.7,22.89,23.28,23.28,5571600
2021-11-30,22.96,22.96,22.39,22.42,22.42,7130500
2021-12-01,23.06,23.37,21.97,22.0,22.0,4660200
2021-12-02,22.29,23.3,22.2,23.13,23.13,5485300
2021-12-03,23.19,23.21,22.61,22.86,22.86,4905000
