Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,16.21,16.25,15.92,16.01,16.01,11516500
2021-09-15,16.11,16.48,16.09,16.38,16.38,24200900
2021-09-16,16.39,16.44,16.11,16.16,16.16,12935100
2021-09-17,16.13,16.31,15.91,15.96,15.96,28647700
2021-09-20,15.66,15.82,15.47,15.68,15.68,16208400
2021-09-21,15.85,15.95,15.65,15.78,15.78,12209800
2021-09-22,15.96,16.29,15.96,16.13,16.13,13006300
2021-09-23,16.2,16.59,16.15,16.49,16.49,13033400
2021-09-24,16.47,16.64,16.45,16.53,16.53,9884000
2021-09-27,16.8,17.13,16.75,16.98,16.98,15651000
2021-09-28,17.12,17.21,16.82,16.89,16.89,16098400
2021-09-29,16.98,17.07,16.83,16.92,16.92,11102700
2021-09-30,16.99,17.0,16.72,16.73,16.73,16132100
2021-10-01,16.77,16.97,16.68,16.91,16.91,12603100
2021-10-04,17.04,17.25,16.86,16.94,16.94,28345800
2021-10-05,17.12,17.14,16.77,16.92,16.92,22492000
2021-10-06,16.78,16.91,16.52,16.74,16.74,17447500
2021-10-07,16.8,17.05,16.77,16.94,16.94,14639500
2021-10-08,17.08,17.53,17.08,17.47,17.47,12991600
2021-10-11,17.76,18.0,17.63,17.74,17.74,17229500
2021-10-12,17.7,18.06,17.65,17.94,17.94,17350900
2021-10-13,17.78,18.06,17.57,17.97,17.97,15917400
2021-10-14,18.37,18.4,18.16,18.38,18.38,10013716
