Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,91.3,92.35,90.44,91.11,91.11,1601800
2022-04-19,91.43,96.77,91.29,96.29,96.29,1775400
2022-04-20,96.87,97.86,92.98,93.07,93.07,1746300
2022-04-21,93.5,93.86,90.02,90.67,90.67,2176300
2022-04-22,90.26,91.85,89.53,90.38,90.38,1811400
2022-04-25,89.61,90.65,87.49,90.45,90.45,2463600
2022-04-26,89.62,90.28,88.42,88.43,88.43,1476300
2022-04-27,88.05,90.82,87.15,88.87,88.87,1715700
2022-04-28,89.94,90.66,87.14,89.1,89.1,1414600
2022-04-29,88.78,89.85,85.65,85.78,85.78,1515600
2022-05-02,85.85,91.26,85.36,91.14,91.14,1953100
2022-05-03,90.87,95.67,90.35,95.07,95.07,2642900
2022-05-04,94.41,100.35,93.94,100.18,100.18,2433500
2022-05-05,98.34,98.56,90.77,92.38,92.38,2123700
2022-05-06,92.17,96.18,90.49,94.7,94.7,2218300
2022-05-09,92.95,96.02,92.19,92.81,92.81,2102400
2022-05-10,94.21,96.33,89.28,92.22,92.22,2486100
2022-05-11,91.87,93.9,89.48,89.79,89.79,1696000
2022-05-12,89.16,93.83,88.75,91.26,91.26,2663500
2022-05-13,92.17,95.56,91.26,91.66,91.66,2184600
2022-05-16,91.91,93.9,90.04,92.66,92.66,2800558
