Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,64.77,65.18,64.18,64.44,64.44,11679400
2022-04-19,64.5,65.25,64.44,65.07,65.07,11993800
2022-04-20,65.44,66.24,65.4,65.96,65.96,14827100
2022-04-21,65.98,67.0,65.72,66.21,66.21,15120400
2022-04-22,66.08,66.34,65.18,65.25,65.25,14902200
2022-04-25,67.0,67.2,64.78,65.94,65.94,25082000
2022-04-26,65.52,66.37,65.04,65.05,65.05,21982600
2022-04-27,65.0,66.28,65.0,65.56,65.56,16971000
2022-04-28,64.66,66.28,64.5,66.19,66.19,22010600
2022-04-29,65.87,66.03,64.49,64.61,64.61,20135300
2022-05-02,65.28,65.31,62.58,63.44,63.44,24970300
2022-05-03,63.72,63.94,62.67,63.08,63.08,21686300
2022-05-04,63.0,65.12,62.94,65.03,65.03,19780200
2022-05-05,64.69,65.03,64.01,64.51,64.51,20155200
2022-05-06,64.2,65.31,64.07,64.74,64.74,18983000
2022-05-09,64.47,65.36,64.04,64.61,64.61,20055300
2022-05-10,64.5,65.32,63.85,64.01,64.01,21322200
2022-05-11,64.33,65.2,63.96,64.31,64.31,19648400
2022-05-12,64.16,64.53,63.21,64.51,64.51,22574700
2022-05-13,64.81,65.8,64.12,65.72,65.72,16164600
2022-05-16,65.44,66.37,65.55,65.96,65.96,13223177
