Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,57.91,58.59,57.61,57.82,57.6,3172800
2022-04-19,58.0,58.4,57.55,57.79,57.57,5372200
2022-04-20,58.0,58.3,57.37,57.7,57.48,6986500
2022-04-21,57.51,58.7,57.28,58.18,57.96,5673200
2022-04-22,58.81,58.97,56.98,57.0,56.78,5586700
2022-04-25,56.93,57.24,55.84,56.69,56.47,7862600
2022-04-26,56.61,56.78,55.48,55.72,55.5,5848800
2022-04-27,56.08,56.31,55.23,55.58,55.37,5304200
2022-04-28,55.64,55.77,55.1,55.49,55.28,4921800
2022-04-29,55.77,55.95,53.79,53.96,53.75,6855100
2022-05-02,54.65,54.88,53.22,53.72,53.51,7232700
2022-05-03,54.28,55.27,53.73,54.79,54.58,6058400
2022-05-04,54.25,55.98,54.25,55.77,55.55,6979500
2022-05-05,55.07,55.31,53.39,53.85,53.64,7047200
2022-05-06,53.65,55.15,53.38,53.85,53.64,5087800
2022-05-09,53.43,55.0,53.14,54.84,54.63,6677800
2022-05-10,54.66,55.26,54.42,55.19,54.98,6505200
2022-05-11,55.44,55.83,54.08,54.33,54.12,6442100
2022-05-12,55.06,55.79,53.98,54.22,54.22,4666100
2022-05-13,54.51,54.7,53.26,53.39,53.39,5355900
2022-05-16,53.87,54.04,52.65,53.2,53.2,4692313
