Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,329.4,331.63,328.34,331.5,330.4,1628200
2021-11-05,331.48,332.61,330.66,331.99,330.88,1693200
2021-11-08,335.33,337.9,335.06,337.53,336.41,1448700
2021-11-09,339.98,340.16,337.53,338.62,337.49,1813000
2021-11-10,337.67,338.64,335.51,336.62,335.5,1540100
2021-11-11,337.58,337.78,335.64,335.66,334.54,924900
2021-11-12,337.78,337.78,335.56,337.02,335.9,1044100
2021-11-15,336.73,336.73,332.76,334.01,332.9,1274900
2021-11-16,333.95,335.32,332.87,332.97,331.86,1604300
2021-11-17,334.34,334.43,331.07,331.48,330.38,1304600
2021-11-18,331.46,331.76,329.17,331.0,329.9,1762900
2021-11-19,331.82,333.24,330.47,332.19,331.08,2067000
2021-11-22,332.77,334.37,329.74,329.74,328.64,955500
2021-11-23,328.98,331.46,328.54,330.25,329.15,986800
2021-11-24,325.32,328.3,324.84,327.25,326.16,1327400
2021-11-26,323.18,324.47,319.14,320.57,319.5,1319000
2021-11-29,321.5,322.65,318.62,320.74,319.67,1857200
2021-11-30,320.36,320.78,315.8,318.14,317.08,3243900
2021-12-01,321.7,325.81,318.24,318.29,317.23,2459500
2021-12-02,320.0,324.69,319.4,324.0,324.0,2183900
2021-12-03,325.18,327.0,318.26,320.7,320.7,2566700
