Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,229.97,231.06,225.61,226.4,226.4,2785900
2021-09-28,226.39,226.4,220.2,221.6,221.6,3583300
2021-09-29,225.41,231.44,224.56,230.36,230.36,3971000
2021-09-30,232.78,237.16,230.8,231.05,231.05,3786100
2021-10-01,231.0,231.68,225.45,229.59,229.59,2215700
2021-10-04,227.8,230.19,224.22,224.85,224.85,4784700
2021-10-05,226.44,232.56,226.17,230.93,230.93,2802000
2021-10-06,230.56,230.85,226.05,227.85,227.85,2462700
2021-10-07,229.12,234.11,229.0,233.18,233.18,2001800
2021-10-08,233.42,235.81,231.55,233.94,233.94,2563000
2021-10-11,236.7,237.99,233.6,233.67,233.67,1892300
2021-10-12,234.7,235.07,231.98,232.78,232.78,1719200
2021-10-13,234.07,237.92,232.8,236.44,236.44,2105700
2021-10-14,237.01,238.44,234.11,236.69,236.69,1824700
2021-10-15,237.42,239.3,235.82,237.88,237.88,2598300
2021-10-18,237.95,242.66,236.7,238.98,238.98,2546000
2021-10-19,239.06,242.55,239.06,242.31,242.31,1573200
2021-10-20,243.73,245.9,243.04,243.72,243.72,1537500
2021-10-21,244.95,244.95,239.83,241.17,241.17,1717700
2021-10-22,240.96,244.04,239.56,243.75,243.75,1960700
2021-10-25,244.66,246.27,240.52,245.05,245.05,2747500
2021-10-26,244.5,248.32,237.13,246.64,246.64,2705568
