Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,352.14,357.24,351.32,353.36,353.36,1866000
2021-09-28,353.36,355.31,349.92,352.15,352.15,1140100
2021-09-29,348.13,352.58,344.97,350.29,350.29,1547700
2021-09-30,351.53,352.3,344.9,345.1,345.1,1054300
2021-10-01,347.31,349.68,342.77,347.8,347.8,960400
2021-10-04,347.69,350.27,343.7,345.99,345.99,1127400
2021-10-05,346.0,350.45,344.82,347.75,347.75,889400
2021-10-06,347.03,350.14,344.2,349.99,349.99,995700
2021-10-07,350.17,354.48,350.17,351.78,351.78,1042600
2021-10-08,352.08,355.16,350.8,353.75,353.75,767900
2021-10-11,354.9,359.33,354.12,357.08,357.08,996800
2021-10-12,356.98,360.38,356.01,358.12,358.12,840200
2021-10-13,359.62,362.39,353.45,361.76,361.76,1102100
2021-10-14,362.02,364.16,360.36,362.07,362.07,973300
2021-10-15,364.1,366.24,363.51,365.62,365.62,952700
2021-10-18,364.33,367.88,361.88,365.0,365.0,1014600
2021-10-19,366.5,371.18,363.65,371.07,371.07,1051300
2021-10-20,371.78,372.57,369.8,371.13,371.13,955200
2021-10-21,371.63,373.26,367.14,373.14,373.14,803600
2021-10-22,373.93,377.02,372.25,374.6,374.6,1092000
2021-10-25,375.91,378.1,374.61,376.33,376.33,1350000
2021-10-26,348.33,351.2,327.5,328.02,328.02,6256059
