Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,222.0,227.75,214.13,215.09,215.09,8936900.0
2022-02-24,209.69,214.26,206.24,213.41,213.41,5749300.0
2022-02-25,214.27,219.69,210.21,219.18,219.18,4613300.0
2022-02-28,217.26,221.3,215.82,221.06,221.06,5440400.0
2022-03-01,221.38,224.44,220.23,221.5,221.5,3953200.0
2022-03-02,220.6,230.01,220.11,228.66,228.66,4513700.0
2022-03-03,229.12,230.72,225.06,226.28,226.28,3180700.0
2022-03-04,224.58,226.69,221.75,224.07,224.07,3144400.0
2022-03-07,224.03,227.98,222.08,222.26,222.26,4022700.0
2022-03-08,222.26,229.62,222.08,223.26,223.26,3725900.0
2022-03-09,227.98,230.28,225.59,225.88,225.88,3428500.0
2022-03-10,223.0,224.39,219.09,224.17,224.17,3318700.0
2022-03-11,223.9,227.56,221.99,222.21,222.21,2616300.0
2022-03-14,223.98,227.71,221.08,226.51,226.51,3607700.0
2022-03-15,227.8,232.35,227.51,231.07,231.07,3413600.0
2022-03-16,233.13,234.43,226.79,231.33,231.33,3497400.0
2022-03-17,230.0,234.41,228.32,234.38,234.38,3323900.0
2022-03-18,231.65,236.26,229.93,235.67,235.67,9149800.0
2022-03-21,236.5,238.37,225.69,227.6,227.6,4349200.0
2022-03-22,227.65,229.87,225.35,228.47,228.47,3115236.0
