Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,12.82,14.24,12.65,13.72,13.47,48321700
2021-11-05,13.95,14.5,13.87,14.11,13.86,25962300
2021-11-08,14.1,14.15,13.88,14.02,13.77,12708800
2021-11-09,14.02,14.14,13.78,14.0,13.75,10710800
2021-11-10,14.0,14.17,13.93,13.95,13.7,8848400
2021-11-11,14.01,14.42,13.96,14.27,14.01,8690600
2021-11-12,14.29,14.4,14.13,14.22,13.96,5970800
2021-11-15,14.22,14.29,14.0,14.12,13.87,7708200
2021-11-16,14.17,14.18,13.97,13.98,13.73,6990300
2021-11-17,13.95,14.07,13.71,13.76,13.51,9603200
2021-11-18,13.74,13.82,13.58,13.6,13.35,8043300
2021-11-19,13.6,13.63,13.27,13.34,13.1,8756400
2021-11-22,13.45,13.76,13.43,13.62,13.37,13451100
2021-11-23,13.64,14.0,13.6,13.82,13.57,9186700
2021-11-24,13.76,13.91,13.76,13.86,13.61,7727500
2021-11-26,13.21,13.29,13.06,13.19,13.19,5643700
2021-11-29,13.27,13.28,12.88,12.95,12.95,8772000
2021-11-30,12.78,12.84,12.2,12.34,12.34,17649700
2021-12-01,12.6,12.6,11.78,11.79,11.79,15337100
2021-12-02,11.88,12.55,11.88,12.29,12.29,17639500
2021-12-03,12.37,12.58,12.28,12.37,12.37,10421700
