Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,47.09,48.03,46.97,47.72,47.72,8300100
2021-11-23,48.11,48.31,46.92,46.98,46.98,6264400
2021-11-24,46.5,47.11,46.3,46.99,46.99,4977600
2021-11-26,44.8,45.48,43.81,44.96,44.96,11570900
2021-11-29,45.74,45.91,44.21,44.54,44.54,9893600
2021-11-30,43.95,44.78,43.16,44.4,44.4,12149100
2021-12-01,44.99,45.54,42.39,42.55,42.55,14225800
2021-12-02,43.2,45.56,42.84,45.34,45.34,12908200
2021-12-03,45.06,45.6,43.64,44.28,44.28,8505100
2021-12-06,44.99,46.96,44.99,45.56,45.56,13262600
2021-12-07,46.23,46.75,44.85,45.21,45.21,11351700
2021-12-08,44.56,46.27,44.56,45.27,45.27,12788200
2021-12-09,44.1,44.37,43.37,43.61,43.61,15789200
2021-12-10,42.48,42.91,41.56,41.97,41.97,17067000
2021-12-13,41.47,41.73,40.05,40.48,40.48,12916500
2021-12-14,40.35,41.22,40.08,40.24,40.24,9601200
2021-12-15,40.01,40.35,39.33,40.11,40.11,13099000
2021-12-16,40.74,40.75,39.4,39.53,39.53,13408000
2021-12-17,39.48,40.49,39.08,39.66,39.66,15175600
2021-12-20,38.91,39.96,38.66,39.36,39.36,12253100
2021-12-21,39.72,41.41,39.64,40.87,40.87,12569900
2021-12-22,40.85,41.6,40.47,41.15,41.15,7344460
