Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,41.27,41.33,39.72,39.74,39.74,5901800
2021-11-05,41.74,42.95,41.37,42.64,42.64,14568100
2021-11-08,43.1,43.23,41.46,41.57,41.57,8229800
2021-11-09,41.58,41.84,40.65,41.08,41.08,5635700
2021-11-10,40.83,41.59,39.82,40.04,40.04,7939600
2021-11-11,39.92,40.36,39.45,39.5,39.5,6335700
2021-11-12,39.54,39.83,39.1,39.7,39.7,6661700
2021-11-15,39.94,41.54,39.94,41.34,41.34,7207700
2021-11-16,41.54,41.55,39.88,40.64,40.64,6907200
2021-11-17,40.24,40.71,39.01,39.29,39.29,5943300
2021-11-18,39.33,39.4,38.13,38.55,38.55,6432400
2021-11-19,38.02,38.78,37.82,38.26,38.26,9708500
2021-11-22,39.0,40.99,38.67,40.63,40.63,9261000
2021-11-23,40.99,41.18,39.61,39.81,39.81,6019400
2021-11-24,39.5,40.56,39.36,40.01,40.01,4957400
2021-11-26,37.33,37.98,36.61,37.87,37.87,15314800
2021-11-29,37.96,38.49,37.2,37.26,37.26,10209900
2021-11-30,36.5,37.13,35.24,35.62,35.62,15398700
2021-12-01,36.3,37.45,33.95,33.98,33.98,10906100
2021-12-02,34.3,35.64,33.75,35.59,35.59,10494800
2021-12-03,35.52,35.55,33.87,34.28,34.28,7147000
