Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,107.57,109.03,107.34,108.95,108.95,1643700
2022-04-19,108.88,110.99,108.03,110.61,110.61,1485600
2022-04-20,110.13,112.22,110.13,111.15,111.15,1699000
2022-04-21,112.87,114.95,110.65,111.15,111.15,1851200
2022-04-22,109.89,110.56,106.52,106.67,106.67,2313800
2022-04-25,104.61,105.61,101.41,105.21,105.21,2179900
2022-04-26,105.21,106.41,104.2,104.26,104.26,1265100
2022-04-27,105.68,106.64,104.36,105.32,105.32,1658300
2022-04-28,106.1,106.81,104.25,106.1,106.1,2465900
2022-04-29,109.07,110.94,105.81,106.03,106.03,2268900
2022-05-02,108.8,109.2,105.89,108.01,108.01,3071500
2022-05-03,108.47,111.26,108.14,110.92,110.92,2305800
2022-05-04,111.86,116.01,111.64,116.0,116.0,2161500
2022-05-05,114.99,115.3,110.11,111.43,111.43,2156600
2022-05-06,111.26,111.4,107.81,110.22,110.22,1827900
2022-05-09,108.41,108.82,106.03,106.6,106.6,2536400
2022-05-10,107.62,108.23,103.63,105.61,105.61,1820800
2022-05-11,106.66,109.7,106.35,107.4,107.4,1983800
2022-05-12,106.41,106.98,102.77,105.76,105.76,3177100
2022-05-13,107.0,107.78,105.9,106.72,106.72,2478100
2022-05-16,106.93,108.18,105.58,107.41,107.41,3285956
