Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,105.57,107.53,104.68,107.52,107.52,1958400
2021-11-05,118.63,127.75,115.5,123.8,123.8,8012700
2021-11-08,118.82,120.34,113.62,117.14,117.14,5805200
2021-11-09,116.81,117.0,114.03,116.61,116.61,3005800
2021-11-10,116.0,117.73,113.95,115.01,115.01,3102800
2021-11-11,115.26,115.87,113.2,114.26,114.26,1648300
2021-11-12,114.37,114.53,111.71,112.32,112.32,2737800
2021-11-15,113.07,116.79,112.7,115.94,115.94,1721400
2021-11-16,114.45,116.04,112.12,115.71,115.71,1672100
2021-11-17,115.37,116.65,113.83,115.1,115.1,2356900
2021-11-18,114.91,115.48,111.93,112.96,112.96,2423500
2021-11-19,111.6,112.99,109.05,112.54,112.54,3099600
2021-11-22,113.88,116.7,112.06,112.11,112.11,3112300
2021-11-23,112.83,113.63,110.56,112.74,112.74,1451100
2021-11-24,111.57,113.53,110.85,112.61,112.61,1393300
2021-11-26,103.79,105.05,98.5,103.53,103.53,4582100
2021-11-29,106.19,109.62,104.81,107.85,107.85,2855700
2021-11-30,106.7,107.73,104.25,106.65,106.65,3134300
2021-12-01,109.76,109.95,102.33,102.83,102.83,3038000
2021-12-02,104.14,107.28,103.29,106.31,106.31,2713100
2021-12-03,106.56,106.56,99.16,100.93,100.93,3765400
