Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,331.07,338.63,329.33,335.43,335.43,4819500
2021-11-05,342.44,350.16,341.0,348.79,348.79,7199500
2021-11-08,348.01,353.15,347.66,349.67,349.67,3862200
2021-11-09,350.0,350.2,339.65,344.65,344.65,4247800
2021-11-10,350.1,359.62,349.5,357.94,357.94,6337100
2021-11-11,358.38,359.64,352.57,354.34,354.34,4472200
2021-11-12,356.06,363.84,355.93,363.5,363.5,4722500
2021-11-15,365.14,371.13,360.66,361.36,361.36,4693200
2021-11-16,364.77,371.07,362.0,369.56,369.56,4969000
2021-11-17,359.58,368.0,351.22,359.17,359.17,11727300
2021-11-18,360.73,362.48,344.58,348.22,348.22,6533700
2021-11-19,346.0,346.65,339.13,339.72,339.72,6954800
2021-11-22,339.8,341.48,319.76,321.3,321.3,11378200
2021-11-23,324.96,329.69,321.69,329.0,329.0,7116200
2021-11-24,326.95,340.36,325.02,340.0,340.0,6414400
2021-11-26,321.58,326.87,319.0,324.17,324.17,6613900
2021-11-29,330.01,331.82,318.25,323.01,323.01,6362200
2021-11-30,318.0,320.76,310.11,314.92,314.92,10237600
2021-12-01,320.78,322.02,306.0,306.28,306.28,8008800
2021-12-02,309.59,322.2,308.99,320.2,320.2,6717600
2021-12-03,320.24,322.69,314.0,322.11,322.11,4731700
