Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,179.23,184.95,179.23,183.15,182.81,2961100
2022-04-19,182.28,189.55,182.05,188.78,188.43,2775100
2022-04-20,189.0,193.79,188.78,190.3,189.95,3500700
2022-04-21,193.54,195.9,183.7,184.17,183.83,2905600
2022-04-22,183.76,184.17,178.94,179.49,179.16,1872900
2022-04-25,178.87,182.69,177.01,182.48,182.14,2368300
2022-04-26,181.0,183.18,176.82,177.25,176.92,2085100
2022-04-27,177.93,181.83,175.91,180.2,179.87,1808900
2022-04-28,181.72,186.17,180.07,184.56,184.22,2335500
2022-04-29,182.97,185.13,176.96,177.52,177.19,2605100
2022-05-02,178.95,180.32,173.28,178.14,177.81,2590000
2022-05-03,178.65,178.69,170.79,173.04,172.72,4135800
2022-05-04,176.0,181.57,172.32,181.24,180.91,4283900
2022-05-05,179.69,183.51,175.18,177.66,177.33,3174400
2022-05-06,178.18,178.54,169.28,172.52,172.2,2764100
2022-05-09,170.98,170.98,162.1,163.85,163.55,4058300
2022-05-10,168.06,170.24,164.93,168.09,167.78,2594500
2022-05-11,167.62,172.49,165.79,166.96,166.65,2973800
2022-05-12,165.47,167.31,159.96,163.34,163.04,2619600
2022-05-13,166.0,167.48,163.75,166.4,166.4,2772300
2022-05-16,165.7,166.34,161.4,162.33,162.33,2367894
