Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,64.23,65.16,64.16,64.67,64.44,1283500
2021-11-05,64.97,65.5,64.05,64.17,63.94,1721400
2021-11-08,64.88,65.0,63.6,64.05,63.82,2121600
2021-11-09,64.3,65.73,64.06,65.72,65.49,1176600
2021-11-10,65.29,65.65,64.23,64.44,64.44,1345700
2021-11-11,64.47,64.82,64.29,64.58,64.58,697800
2021-11-12,64.87,67.01,64.59,66.71,66.71,1917600
2021-11-15,66.5,67.81,66.15,67.24,67.24,1580300
2021-11-16,67.46,68.89,67.24,68.48,68.48,2727900
2021-11-17,68.56,68.61,67.69,68.09,68.09,1567500
2021-11-18,68.25,68.25,67.39,67.75,67.75,1280500
2021-11-19,67.95,68.42,67.55,67.6,67.6,1352700
2021-11-22,67.99,69.03,67.85,68.28,68.28,1538500
2021-11-23,68.18,68.62,67.7,68.22,68.22,1251800
2021-11-24,68.13,68.63,67.85,68.38,68.38,1016000
2021-11-26,67.56,67.87,66.63,67.08,67.08,856100
2021-11-29,67.66,67.66,66.66,67.34,67.34,1285200
2021-11-30,66.86,67.34,65.69,65.9,65.9,3170900
2021-12-01,66.81,67.54,65.64,65.67,65.67,1402400
2021-12-02,66.02,67.91,66.02,67.54,67.54,1691300
2021-12-03,67.86,69.16,67.82,68.76,68.76,2775400
