Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,65.0,68.21,65.0,67.24,67.24,6758400
2022-04-19,67.5,69.18,67.0,68.9,68.9,3976000
2022-04-20,69.69,70.87,68.87,69.15,69.15,3761400
2022-04-21,70.04,70.89,67.23,67.62,67.62,3910500
2022-04-22,67.51,67.85,65.95,66.07,66.07,4751500
2022-04-25,65.74,68.21,65.54,68.1,68.1,4919300
2022-04-26,67.12,67.35,65.14,65.17,65.17,5083400
2022-04-27,63.53,66.36,63.34,64.39,64.39,5314100
2022-04-28,65.79,68.97,64.75,68.18,68.18,4864300
2022-04-29,67.4,68.48,64.95,65.2,65.2,4837700
2022-05-02,65.64,67.91,64.97,67.86,67.86,5580700
2022-05-03,67.5,68.64,66.58,68.19,68.19,4029900
2022-05-04,68.3,70.81,66.39,70.7,70.7,5280300
2022-05-05,69.3,70.07,67.11,68.1,68.1,7453700
2022-05-06,67.46,68.65,66.3,67.56,67.56,4157700
2022-05-09,66.22,67.31,64.1,64.31,64.31,6579400
2022-05-10,68.63,69.41,65.74,68.25,68.25,8622200
2022-05-11,67.33,67.94,64.45,64.56,64.56,6486700
2022-05-12,64.14,65.54,63.52,65.43,65.43,6090700
2022-05-13,66.59,67.73,65.91,67.03,67.03,5673200
2022-05-16,66.38,66.95,65.62,65.93,65.93,4988558
