Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,104.24,104.5,102.55,103.03,103.03,6454100.0
2022-02-24,100.97,103.49,100.07,103.33,103.33,7617300.0
2022-02-25,103.63,105.91,103.04,105.84,105.84,6969200.0
2022-02-28,104.33,105.44,103.6,104.99,104.99,5780600.0
2022-03-01,104.6,105.12,102.82,103.66,103.66,4543400.0
2022-03-02,105.09,106.98,104.83,106.38,106.38,5919300.0
2022-03-03,107.01,108.49,106.35,107.65,107.65,6480000.0
2022-03-04,106.04,108.54,105.92,108.31,108.31,5186200.0
2022-03-07,107.75,108.14,106.44,106.64,106.64,6556600.0
2022-03-08,106.32,106.98,104.04,104.09,104.09,7482700.0
2022-03-09,106.04,106.67,103.35,103.58,103.58,9962000.0
2022-03-10,102.82,104.64,102.4,104.46,104.46,5146900.0
2022-03-11,105.41,106.05,103.6,103.82,103.82,5149500.0
2022-03-14,104.47,105.07,102.84,103.22,103.22,4175500.0
2022-03-15,103.97,105.55,103.74,105.4,105.4,5017900.0
2022-03-16,105.97,107.38,105.4,107.3,107.3,5255000.0
2022-03-17,107.0,109.79,106.66,109.74,109.74,5693400.0
2022-03-18,109.73,110.39,108.48,110.18,110.18,16292800.0
2022-03-21,109.04,110.6,108.09,108.75,108.75,8206100.0
2022-03-22,109.02,109.55,108.77,108.97,108.97,5495315.0
