Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,65.34,65.34,61.83,63.91,63.43,5993200
2021-11-05,64.59,65.62,63.76,63.99,63.51,4402200
2021-11-08,64.02,64.63,63.58,63.74,63.74,4461400
2021-11-09,63.26,63.74,62.69,62.97,62.97,4067100
2021-11-10,63.26,64.4,63.1,63.35,63.35,3826400
2021-11-11,63.37,64.32,63.15,63.63,63.63,3124000
2021-11-12,63.68,64.19,63.37,64.19,64.19,4084800
2021-11-15,64.41,64.61,63.97,64.15,64.15,5986800
2021-11-16,64.34,64.78,63.37,63.41,63.41,4817700
2021-11-17,63.2,64.03,63.11,63.13,63.13,4542300
2021-11-18,63.18,63.42,61.87,62.66,62.66,4294900
2021-11-19,61.52,61.68,60.29,61.15,61.15,7402400
2021-11-22,62.39,63.28,61.3,62.51,62.51,4575700
2021-11-23,63.14,63.88,62.78,63.36,63.36,4347300
2021-11-24,63.07,63.53,62.5,62.63,62.63,4469600
2021-11-26,59.88,60.44,58.65,60.1,60.1,4296900
2021-11-29,60.89,61.05,59.27,59.89,59.89,5064700
2021-11-30,59.13,59.28,58.24,58.66,58.66,12405500
2021-12-01,59.56,59.96,57.05,57.11,57.11,9280500
2021-12-02,57.75,59.84,57.63,59.33,59.33,6069600
2021-12-03,59.79,60.03,58.93,59.42,59.42,6035900
