Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,49.47,50.39,47.02,47.4,47.4,9351000
2021-11-05,49.97,51.03,49.24,50.37,50.37,8354900
2021-11-08,50.92,51.17,48.52,48.54,48.54,5860700
2021-11-09,48.44,48.68,47.02,47.33,47.33,5282900
2021-11-10,46.82,47.65,45.91,46.06,46.06,3659300
2021-11-11,46.19,46.28,45.35,45.42,45.42,3584800
2021-11-12,45.6,45.74,44.61,45.09,45.09,4621800
2021-11-15,45.48,46.09,45.37,45.82,45.82,3104500
2021-11-16,45.9,46.05,44.87,45.65,45.65,4465900
2021-11-17,45.51,46.2,45.24,45.51,45.51,3016000
2021-11-18,45.53,45.78,44.25,44.33,44.33,4485600
2021-11-19,43.8,44.77,43.54,44.28,44.28,6216000
2021-11-22,44.64,45.16,44.05,44.54,44.54,4642700
2021-11-23,44.57,44.96,42.41,42.51,42.51,8433300
2021-11-24,42.11,43.47,41.79,42.83,42.83,5426600
2021-11-26,40.0,41.99,39.17,41.85,41.85,7728500
2021-11-29,42.49,42.98,40.99,41.13,41.13,7368200
2021-11-30,40.8,41.14,39.01,39.58,39.58,9225800
2021-12-01,40.32,41.94,38.11,38.3,38.3,10532500
2021-12-02,38.82,41.56,38.55,41.23,41.23,10105700
2021-12-03,40.89,41.21,39.69,40.17,40.17,7683400
