Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,147.45,148.33,145.75,146.18,146.18,1775800
2022-04-19,146.85,150.59,146.85,150.1,150.1,2296000
2022-04-20,150.81,152.5,150.53,150.59,150.59,1979900
2022-04-21,151.98,153.1,151.31,151.77,151.77,2337200
2022-04-22,150.8,150.99,148.24,149.17,149.17,3157400
2022-04-25,148.71,149.03,145.88,148.6,148.6,3432200
2022-04-26,145.41,146.98,142.87,144.22,144.22,4840400
2022-04-27,144.78,146.08,143.73,144.21,144.21,3124300
2022-04-28,144.75,147.73,144.12,147.14,147.14,2537700
2022-04-29,147.3,148.56,143.87,144.22,144.22,4151300
2022-05-02,144.51,147.5,143.78,145.91,145.91,3717300
2022-05-03,146.21,148.85,145.92,148.08,148.08,2508700
2022-05-04,149.0,154.66,147.88,154.23,154.23,3694200
2022-05-05,153.17,153.65,148.23,149.46,149.46,3315900
2022-05-06,149.27,149.77,146.69,149.53,149.53,2469500
2022-05-09,148.44,153.77,147.94,152.38,152.38,4163100
2022-05-10,154.0,154.04,148.14,149.12,149.12,3503200
2022-05-11,149.99,150.13,146.17,146.41,146.41,2748000
2022-05-12,146.59,149.62,146.01,149.59,149.59,2819000
2022-05-13,150.21,150.35,147.97,149.3,149.3,2753300
2022-05-16,149.22,150.99,146.3,150.5,150.5,2713786
