Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,87.28,88.06,86.79,87.78,87.78,1917000
2021-11-05,90.43,91.89,89.87,91.63,91.63,4449400
2021-11-08,91.22,91.81,90.5,90.83,90.83,2768700
2021-11-09,90.82,92.03,90.18,91.76,91.76,2127200
2021-11-10,91.9,93.27,91.79,91.98,91.98,2144400
2021-11-11,92.09,92.71,91.85,92.27,92.27,1683800
2021-11-12,92.45,92.67,90.98,92.06,92.06,1990000
2021-11-15,92.38,93.08,92.1,93.0,93.0,2663600
2021-11-16,93.35,93.81,92.26,92.33,92.33,2157500
2021-11-17,92.21,92.47,91.2,91.4,91.4,2055200
2021-11-18,91.15,91.19,88.61,89.39,89.39,2560200
2021-11-19,89.39,89.99,88.95,89.3,89.3,1940000
2021-11-22,92.01,92.3,89.36,90.09,90.09,3209300
2021-11-23,90.11,90.51,87.09,88.62,88.62,2827000
2021-11-24,87.89,89.23,87.89,89.09,89.09,1495200
2021-11-26,88.98,88.99,86.77,87.05,87.05,1257000
2021-11-29,87.21,87.54,86.56,86.85,86.85,1906700
2021-11-30,86.52,86.8,83.34,83.78,83.78,3541400
2021-12-01,84.55,84.85,80.92,81.06,81.06,3104600
2021-12-02,81.68,83.8,81.68,82.96,82.96,2799800
2021-12-03,83.32,83.86,82.58,83.7,83.7,2411200
