Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,51.49,52.06,51.2,51.95,51.95,8759700.0
2022-02-24,50.72,50.89,48.61,49.57,49.57,19492500.0
2022-02-25,50.09,51.98,50.06,51.48,51.48,11780700.0
2022-02-28,50.88,51.37,50.56,51.29,51.29,8645300.0
2022-03-01,51.26,51.93,50.74,51.57,51.57,9693000.0
2022-03-02,51.5,53.29,51.41,52.81,52.81,12796800.0
2022-03-03,52.82,53.84,52.81,53.17,53.17,11822500.0
2022-03-04,52.03,53.55,52.0,53.49,53.49,8947400.0
2022-03-07,52.8,53.53,52.24,52.85,52.85,9596500.0
2022-03-08,52.9,53.12,50.64,50.89,50.89,14529600.0
2022-03-09,51.55,51.77,50.9,51.0,51.0,9772300.0
2022-03-10,50.89,51.44,50.31,51.23,51.23,7567200.0
2022-03-11,51.08,51.55,50.41,50.48,50.48,9433800.0
2022-03-14,50.65,51.12,49.79,50.54,50.54,11266400.0
2022-03-15,51.34,51.87,51.05,51.54,51.54,8346900.0
2022-03-16,51.16,51.45,50.45,51.28,51.28,10695500.0
2022-03-17,51.28,51.88,51.08,51.69,51.69,7801800.0
2022-03-18,51.96,52.08,51.35,51.68,51.68,25043800.0
2022-03-21,51.85,52.58,51.8,52.25,52.25,9326900.0
2022-03-22,53.26,53.96,52.84,53.31,53.31,8951807.0
