Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,42.79,45.8,42.35,45.2,45.1,9786700.0
2022-02-24,44.13,48.11,44.07,45.35,45.25,10706300.0
2022-02-25,46.04,49.57,45.36,49.53,49.42,12150300.0
2022-02-28,49.29,52.65,49.1,52.43,52.32,15676800.0
2022-03-01,52.65,54.17,50.82,51.87,51.76,11324100.0
2022-03-02,52.5,55.07,52.37,53.76,53.76,12305100.0
2022-03-03,54.64,57.27,54.4,55.66,55.66,13376500.0
2022-03-04,56.29,59.95,56.04,59.83,59.83,17991000.0
2022-03-07,59.62,64.71,58.79,61.14,61.14,24638900.0
2022-03-08,60.27,62.68,56.74,58.19,58.19,17925200.0
2022-03-09,55.32,57.95,52.9,57.72,57.72,15112000.0
2022-03-10,58.96,62.72,58.27,62.19,62.19,18388500.0
2022-03-11,60.52,63.44,60.21,61.92,61.92,13845200.0
2022-03-14,60.68,61.38,56.55,58.1,58.1,11773900.0
2022-03-15,57.52,58.58,55.05,58.43,58.43,10955100.0
2022-03-16,58.42,59.27,55.66,57.57,57.57,13659200.0
2022-03-17,58.95,61.14,58.35,61.1,61.1,11637100.0
2022-03-18,60.92,62.39,60.6,62.08,62.08,16038500.0
2022-03-21,64.18,67.75,64.15,67.2,67.2,14430100.0
2022-03-22,66.8,67.23,64.23,65.68,65.68,10700047.0
