Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,76.27,76.93,75.47,75.72,75.72,5763700.0
2022-02-24,76.06,76.41,72.75,74.46,74.46,7497700.0
2022-02-25,75.22,77.03,74.96,76.54,76.54,5275800.0
2022-02-28,75.61,77.9,75.41,77.87,77.87,8031300.0
2022-03-01,78.55,79.28,74.4,75.01,75.01,6502300.0
2022-03-02,76.18,77.75,74.32,76.99,76.99,8013300.0
2022-03-03,76.87,78.46,76.65,77.37,77.37,5694500.0
2022-03-04,76.36,77.77,76.16,77.73,77.73,6663600.0
2022-03-07,77.77,78.69,73.35,74.54,74.54,9396700.0
2022-03-08,76.61,78.33,75.15,76.22,76.22,10534200.0
2022-03-09,74.8,77.28,73.5,75.43,75.43,8088700.0
2022-03-10,76.04,78.25,75.36,77.93,77.93,7368900.0
2022-03-11,77.36,79.93,77.36,78.51,78.51,8529200.0
2022-03-14,77.69,78.7,75.51,76.66,76.66,7896700.0
2022-03-15,75.1,75.32,73.18,74.4,74.4,7873000.0
2022-03-16,75.16,76.0,74.24,74.86,74.86,6809700.0
2022-03-17,75.75,77.25,75.58,77.15,77.15,7091300.0
2022-03-18,77.11,78.4,76.06,78.32,78.32,17587200.0
2022-03-21,79.8,80.22,79.17,79.98,79.98,6260900.0
2022-03-22,79.94,80.25,78.27,79.25,79.25,4804280.0
