Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,73.51,74.27,73.34,73.36,73.36,8630600
2021-09-28,73.55,73.82,72.66,73.32,73.32,11836200
2021-09-29,73.61,75.7,73.58,75.09,75.09,16054500
2021-09-30,75.58,76.65,75.1,75.11,75.11,16248600
2021-10-01,81.56,84.34,80.63,81.4,81.4,102497300
2021-10-04,84.17,84.56,82.42,83.1,83.1,53553300
2021-10-05,82.78,83.39,81.3,81.6,81.6,28977800
2021-10-06,81.5,81.68,80.15,80.66,80.66,17608000
2021-10-07,81.54,82.67,81.03,81.94,81.94,14190500
2021-10-08,81.67,81.8,80.53,80.63,80.63,12114700
2021-10-11,81.64,81.64,79.87,79.93,79.93,11279700
2021-10-12,80.18,80.18,79.25,79.59,79.59,10945000
2021-10-13,79.59,79.66,78.78,78.95,78.95,9462600
2021-10-14,78.97,79.67,77.98,78.33,78.33,14607900
2021-10-15,78.2,79.06,77.98,78.33,78.33,12865300
2021-10-18,78.74,78.74,77.11,77.15,77.15,13075500
2021-10-19,78.73,79.52,78.11,79.49,79.49,15577100
2021-10-20,79.32,81.25,79.31,81.07,81.07,11465500
2021-10-21,81.11,81.26,80.28,81.17,81.17,9893600
2021-10-22,81.15,81.48,80.88,81.15,81.15,7541200
2021-10-25,81.03,81.72,79.95,81.66,81.66,9361100
2021-10-26,81.9,82.35,81.71,81.99,81.99,4963800
