Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,145.17,145.72,134.0,135.73,135.73,7822300.0
2022-02-24,139.87,156.42,138.12,156.23,156.23,17396000.0
2022-02-25,156.02,156.19,147.01,151.33,151.33,7818000.0
2022-02-28,150.98,155.47,147.44,153.6,153.6,6601700.0
2022-03-01,152.48,156.38,147.92,149.52,149.52,4842200.0
2022-03-02,149.44,150.57,140.44,147.86,147.86,5393600.0
2022-03-03,147.9,149.23,139.53,141.52,141.52,4623200.0
2022-03-04,140.82,143.91,135.91,136.46,136.46,5503000.0
2022-03-07,135.12,138.4,126.28,126.46,126.46,6177200.0
2022-03-08,125.0,136.96,122.01,129.28,129.28,6675700.0
2022-03-09,132.07,145.28,132.05,142.49,142.49,9533900.0
2022-03-10,139.51,140.83,135.85,139.52,139.52,5557100.0
2022-03-11,140.75,145.8,138.0,138.2,138.2,5354000.0
2022-03-14,140.2,166.75,139.73,150.07,150.07,22841100.0
2022-03-15,156.27,158.0,141.75,148.12,148.12,13191500.0
2022-03-16,150.0,169.8,149.67,169.36,169.36,14087400.0
2022-03-17,167.75,172.14,160.66,168.26,168.26,7786200.0
2022-03-18,171.58,180.8,170.1,178.93,178.93,12519600.0
2022-03-21,179.91,182.6,172.44,175.38,175.38,6015600.0
2022-03-22,175.38,188.0,168.18,186.72,186.72,8568006.0
