Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,17.0,17.44,16.34,16.57,16.51,28649800
2021-11-05,16.9,17.18,16.6,17.07,17.01,17869700
2021-11-08,17.27,17.59,17.13,17.22,17.16,14899800
2021-11-09,17.25,17.45,16.82,17.26,17.2,14113000
2021-11-10,17.09,17.19,16.35,16.6,16.54,13005600
2021-11-11,16.69,16.96,16.69,16.73,16.67,10489200
2021-11-12,16.53,16.8,16.46,16.68,16.62,9989100
2021-11-15,16.68,16.96,16.4,16.75,16.69,13536200
2021-11-16,16.75,16.91,16.49,16.72,16.72,11005800
2021-11-17,16.45,16.76,16.02,16.09,16.09,17086000
2021-11-18,16.16,16.33,15.71,16.12,16.12,16007300
2021-11-19,15.59,15.62,15.01,15.31,15.31,21462400
2021-11-22,15.28,15.97,15.24,15.66,15.66,20551600
2021-11-23,15.94,16.52,15.94,16.51,16.51,19843300
2021-11-24,16.32,16.98,16.28,16.83,16.83,12769700
2021-11-26,15.66,15.74,15.06,15.7,15.7,16100200
2021-11-29,16.34,16.55,15.62,15.85,15.85,17171000
2021-11-30,15.33,15.73,15.13,15.49,15.49,22593900
2021-12-01,16.07,16.14,15.09,15.12,15.12,23188800
2021-12-02,15.06,15.66,14.72,15.58,15.58,19935000
2021-12-03,15.83,15.99,15.17,15.29,15.29,18156500
