Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,291.79,292.61,285.0,285.26,285.26,34569300
2022-04-12,289.24,290.74,280.49,282.06,282.06,30966700
2022-04-13,282.73,288.58,281.3,287.62,287.62,21907200
2022-04-14,288.09,288.31,279.32,279.83,279.83,28221600
2022-04-18,278.91,282.46,278.34,280.52,280.52,20778000
2022-04-19,279.38,286.17,278.41,285.3,285.3,22297700
2022-04-20,289.4,289.7,285.37,286.36,286.36,22906700
2022-04-21,288.58,293.3,280.06,280.81,280.81,29454600
2022-04-22,281.68,283.2,273.38,274.03,274.03,29405800
2022-04-25,273.29,281.11,270.77,280.72,280.72,35678900
2022-04-26,277.5,278.36,270.0,270.22,270.22,46518400
2022-04-27,282.1,290.97,279.16,283.22,283.22,63477700
2022-04-28,285.19,290.98,281.46,289.63,289.63,33646600
2022-04-29,288.61,289.88,276.5,277.52,277.52,37025000
2022-05-02,277.71,284.94,276.22,284.47,284.47,35151100
2022-05-03,283.96,284.13,280.15,281.78,281.78,25978600
2022-05-04,282.59,290.88,276.73,289.98,289.98,33599300
2022-05-05,285.54,286.35,274.34,277.35,277.35,43260400
2022-05-06,274.81,279.25,271.27,274.73,274.73,37748300
2022-05-09,270.06,272.36,264.55,268.51,268.51,21590715
