Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,91.3,91.7,89.37,90.47,90.47,2023000
2022-04-19,89.62,95.13,87.67,93.91,93.91,3579600
2022-04-20,93.76,93.9,84.42,84.62,84.62,5157400
2022-04-21,85.72,85.98,76.68,77.66,77.66,5834100
2022-04-22,78.22,81.29,76.63,77.3,77.3,5422200
2022-04-25,77.05,82.94,76.26,82.48,82.48,5917100
2022-04-26,81.32,82.86,79.13,79.46,79.46,3845900
2022-04-27,78.03,81.36,76.84,77.09,77.09,3252500
2022-04-28,78.68,82.58,78.05,81.6,81.6,2792100
2022-04-29,81.39,83.96,78.99,79.15,79.15,2346900
2022-05-02,78.64,80.93,77.69,80.69,80.69,2750300
2022-05-03,80.49,80.9,76.54,79.02,79.02,5687700
2022-05-04,69.53,85.44,69.28,83.88,83.88,9475500
2022-05-05,81.48,81.54,74.24,76.88,76.88,4660000
2022-05-06,75.06,76.31,70.95,74.07,74.07,5248900
2022-05-09,73.98,74.9,70.69,70.71,70.71,4682900
2022-05-10,73.36,74.65,67.87,70.25,70.25,6591000
2022-05-11,69.59,72.05,68.08,69.75,69.75,7697400
2022-05-12,69.69,75.6,68.57,73.48,73.48,5437100
2022-05-13,74.51,78.29,74.51,77.51,77.51,2883100
2022-05-16,76.0,78.46,75.45,75.75,75.75,2381045
