Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,83.66,87.67,83.66,83.86,83.86,34775200
2021-11-23,85.04,87.71,84.33,85.41,85.41,31823300
2021-11-24,84.75,87.16,84.61,86.21,86.21,21666100
2021-11-26,83.13,84.05,81.98,83.42,83.42,16487200
2021-11-29,84.38,86.27,84.16,86.14,86.14,18889800
2021-11-30,85.58,86.92,83.95,84.0,84.0,27301000
2021-12-01,86.55,89.05,85.0,85.15,85.15,31633400
2021-12-02,82.63,83.59,81.35,82.88,82.88,22994500
2021-12-03,83.71,84.43,80.64,81.62,81.62,19160200
2021-12-06,81.83,83.23,80.53,82.45,82.45,15094900
2021-12-07,84.42,87.04,84.33,85.83,85.83,21716900
2021-12-08,85.44,86.34,84.03,86.02,86.02,12908500
2021-12-09,85.3,86.54,84.63,84.93,84.93,11964300
2021-12-10,84.34,85.68,84.13,85.54,85.54,11945300
2021-12-13,86.61,87.38,84.2,84.35,84.35,13054400
2021-12-14,83.22,84.77,82.91,83.29,83.29,12082500
2021-12-15,83.48,85.79,82.06,85.66,85.66,13971500
2021-12-16,85.88,86.32,82.13,82.69,82.69,16503200
2021-12-17,81.62,83.29,80.94,83.0,83.0,23165900
2021-12-20,82.14,83.25,80.91,82.03,82.03,22346800
2021-12-21,88.99,91.14,87.35,90.68,90.68,58363600
2021-12-22,90.0,90.48,88.92,89.83,89.83,15322443
