Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,21.4,21.69,21.05,21.21,21.21,10501800
2022-04-19,21.39,22.4,21.32,22.18,22.18,16309900
2022-04-20,22.3,22.62,21.93,22.02,22.02,12739900
2022-04-21,22.96,23.11,21.68,21.84,21.84,21912000
2022-04-22,21.86,22.01,21.02,21.13,21.13,14578100
2022-04-25,20.87,21.27,20.43,21.24,21.24,15786200
2022-04-26,21.05,21.13,19.78,19.82,19.82,20188000
2022-04-27,19.65,20.28,19.47,19.91,19.91,16996200
2022-04-28,20.2,20.77,19.7,20.62,20.62,14133000
2022-04-29,20.65,21.05,19.96,20.03,20.03,11918800
2022-05-02,20.0,20.23,19.17,19.86,19.86,18821600
2022-05-03,19.95,20.3,19.45,20.03,20.03,18322700
2022-05-04,20.0,20.39,19.1,20.37,20.37,17776500
2022-05-05,19.94,20.32,18.69,18.96,18.96,20426700
2022-05-06,18.84,18.89,17.85,18.27,18.27,18948400
2022-05-09,17.88,17.89,15.91,15.95,15.95,28288100
2022-05-10,17.3,17.53,15.75,16.21,16.21,25063800
2022-05-11,16.11,16.89,15.37,15.42,15.42,24475200
2022-05-12,15.03,15.58,14.3,14.77,14.77,31179200
2022-05-13,15.05,16.41,15.02,16.22,16.22,27085000
2022-05-16,16.23,16.59,16.05,16.09,16.09,17024365
