Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,88.15,88.42,87.33,87.36,86.97,5214500
2021-11-23,87.1,87.9,86.53,87.31,86.93,7408000
2021-11-24,86.61,87.3,86.19,87.21,87.21,4553900
2021-11-26,86.92,87.45,85.86,86.09,86.09,4340700
2021-11-29,87.22,88.92,86.55,88.66,88.66,8712500
2021-11-30,88.05,88.95,86.42,86.78,86.78,16328300
2021-12-01,87.0,89.68,87.0,87.84,87.84,10062800
2021-12-02,87.95,89.52,87.61,88.62,88.62,8303500
2021-12-03,89.15,89.15,86.02,88.03,88.03,11190300
2021-12-06,88.07,89.75,87.88,89.15,89.15,8946400
2021-12-07,89.53,90.55,88.94,90.41,90.41,7909700
2021-12-08,90.7,90.92,89.59,90.32,90.32,5356500
2021-12-09,90.5,90.5,89.51,89.91,89.91,5731200
2021-12-10,90.01,90.9,89.8,90.28,90.28,4996700
2021-12-13,90.26,92.12,90.14,91.74,91.74,6446500
2021-12-14,91.23,91.65,89.45,90.03,90.03,11022600
2021-12-15,90.29,92.06,89.58,92.0,92.0,9590000
2021-12-16,91.62,92.7,91.52,92.23,92.23,7623300
2021-12-17,92.0,92.36,90.74,90.94,90.94,15335400
2021-12-20,89.8,90.08,88.51,89.94,89.94,10167700
2021-12-21,90.65,91.34,89.36,90.45,90.45,6287900
2021-12-22,90.24,90.79,89.89,90.69,90.69,2574075
