Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,67.0,68.57,66.71,68.25,67.77,9655700.0
2022-02-24,70.34,70.37,65.42,66.72,66.25,14080500.0
2022-02-25,65.96,68.41,65.73,67.9,67.42,9220600.0
2022-02-28,68.29,68.4,65.69,66.2,65.73,13895700.0
2022-03-01,66.94,69.14,66.77,69.01,68.52,9955800.0
2022-03-02,67.67,70.0,67.23,69.79,69.3,10780700.0
2022-03-03,69.66,70.81,69.18,70.68,70.18,8635300.0
2022-03-04,70.82,74.67,70.64,74.28,73.75,12751300.0
2022-03-07,74.42,78.07,73.52,77.85,77.3,14450700.0
2022-03-08,78.0,80.75,76.59,77.61,77.06,17222500.0
2022-03-09,73.98,76.16,72.8,75.97,75.97,10892600.0
2022-03-10,77.02,78.99,76.41,77.28,77.28,10791700.0
2022-03-11,75.36,77.59,75.1,76.89,76.89,6807200.0
2022-03-14,74.66,74.86,72.37,73.74,73.74,10317500.0
2022-03-15,72.11,74.45,71.8,73.37,73.37,9793500.0
2022-03-16,73.06,73.39,70.91,72.61,72.61,9531500.0
2022-03-17,73.32,74.58,72.84,73.31,73.31,8209800.0
2022-03-18,72.97,74.4,72.44,73.96,73.96,24947900.0
2022-03-21,74.79,77.35,74.68,76.3,76.3,7061600.0
2022-03-22,76.51,76.71,74.66,76.03,76.03,6073723.0
