Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,382.72,386.0,366.66,367.46,367.46,4614300.0
2022-02-24,355.09,390.73,354.72,390.03,390.03,7068700.0
2022-02-25,386.61,391.29,375.58,390.8,390.8,4841600.0
2022-02-28,387.33,397.75,382.13,394.52,394.52,5030600.0
2022-03-01,391.6,395.0,383.71,386.24,386.24,3290400.0
2022-03-02,388.93,389.22,375.21,380.03,380.03,5356800.0
2022-03-03,386.0,386.12,364.65,368.07,368.07,6076800.0
2022-03-04,368.0,374.82,357.17,361.73,361.73,5325500.0
2022-03-07,360.41,362.0,350.2,350.26,350.26,5708400.0
2022-03-08,349.8,358.86,340.67,341.76,341.76,6428700.0
2022-03-09,357.69,364.14,350.51,358.79,358.79,6520200.0
2022-03-10,356.2,367.02,353.3,356.77,356.77,4807800.0
2022-03-11,361.19,363.36,340.0,340.32,340.32,4815500.0
2022-03-14,338.72,341.32,329.82,331.01,331.01,5907800.0
2022-03-15,335.1,345.36,332.36,343.75,343.75,5460600.0
2022-03-16,348.2,359.99,343.06,357.53,357.53,6982500.0
2022-03-17,359.7,373.31,354.88,371.4,371.4,5818300.0
2022-03-18,372.0,381.8,368.47,380.6,380.6,8309200.0
2022-03-21,378.02,381.82,368.94,374.59,374.59,4866500.0
2022-03-22,371.14,386.66,366.76,382.92,382.92,3841184.0
