Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,28.31,29.21,27.9,28.21,28.21,7648700.0
2022-02-24,28.04,28.42,27.89,28.33,28.33,9223200.0
2022-02-25,28.68,29.07,28.45,28.98,28.98,5719900.0
2022-02-28,28.66,29.05,28.66,28.93,28.93,5890600.0
2022-03-01,28.99,29.19,28.4,28.65,28.65,6395000.0
2022-03-02,28.58,29.26,28.57,29.19,29.19,5793600.0
2022-03-03,29.29,29.82,29.25,29.67,29.67,6779900.0
2022-03-04,29.58,30.5,29.48,30.48,30.48,4230600.0
2022-03-07,30.5,30.54,29.98,30.11,30.11,3602300.0
2022-03-08,30.23,30.29,29.55,29.61,29.61,5677900.0
2022-03-09,29.97,30.14,29.65,29.65,29.65,4063100.0
2022-03-10,29.45,30.03,29.4,29.92,29.92,4482700.0
2022-03-11,29.89,30.25,29.77,29.79,29.79,3941700.0
2022-03-14,30.09,30.15,29.42,29.61,29.61,3270100.0
2022-03-15,29.93,29.95,29.52,29.85,29.85,3237200.0
2022-03-16,29.84,30.15,29.61,30.09,30.09,3921900.0
2022-03-17,30.07,30.41,30.04,30.14,30.14,3782300.0
2022-03-18,30.15,30.3,29.88,30.09,30.09,8145000.0
2022-03-21,30.16,30.65,30.09,30.36,30.36,3384800.0
2022-03-22,30.51,30.56,30.15,30.22,30.22,3837188.0
