Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,159.17,159.39,157.07,158.76,158.76,5323900
2021-09-15,157.5,158.32,155.67,157.91,157.91,6827100
2021-09-16,157.59,159.01,157.2,157.6,157.6,5085900
2021-09-17,157.96,161.0,156.07,156.42,156.42,7944800
2021-09-20,153.73,155.27,152.32,154.25,154.25,7041200
2021-09-21,155.09,156.13,153.58,155.02,155.02,5857900
2021-09-22,156.79,158.0,155.6,157.44,157.44,6844800
2021-09-23,158.71,160.29,158.27,159.58,159.58,11981500
2021-09-24,151.04,151.85,148.0,149.59,149.59,26913300
2021-09-27,149.51,149.91,147.29,148.04,148.04,11479300
2021-09-28,147.34,147.53,145.0,145.3,145.3,10692300
2021-09-29,145.71,147.94,145.69,146.02,146.02,7794900
2021-09-30,145.88,147.48,144.42,145.23,145.23,10133600
2021-10-01,145.22,148.0,144.37,147.06,147.06,8112300
2021-10-04,147.06,147.62,145.76,147.14,147.14,7951000
2021-10-05,148.0,151.0,147.82,149.46,149.46,10881900
2021-10-06,148.0,149.46,147.51,148.8,148.8,7610700
2021-10-07,150.3,153.66,150.26,151.85,151.85,7958000
2021-10-08,152.22,152.87,150.67,152.48,152.48,6329300
2021-10-11,151.99,153.59,150.06,150.28,150.28,5551200
2021-10-12,152.42,153.6,151.3,153.35,153.35,7408600
2021-10-13,154.32,156.67,153.16,156.3,156.3,8456300
2021-10-14,158.18,158.46,156.25,157.02,157.02,3164664
