Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,27.38,27.55,26.51,26.54,26.54,3929800.0
2022-02-24,26.07,27.33,26.05,27.26,27.26,6165900.0
2022-02-25,27.31,28.56,27.17,28.45,28.45,5406600.0
2022-02-28,28.21,29.12,28.1,28.98,28.98,7141600.0
2022-03-01,29.01,29.26,28.66,28.86,28.86,5553500.0
2022-03-02,28.87,29.71,28.74,29.61,29.61,4443000.0
2022-03-03,29.75,30.03,29.34,29.76,29.76,5922600.0
2022-03-04,29.6,29.7,28.85,29.19,29.19,6264900.0
2022-03-07,29.1,29.17,28.26,28.35,28.35,5032100.0
2022-03-08,28.04,28.14,27.22,27.38,27.38,5130700.0
2022-03-09,27.86,27.96,27.52,27.73,27.73,3386100.0
2022-03-10,27.48,27.98,27.42,27.92,27.92,3113200.0
2022-03-11,27.95,28.48,27.6,27.62,27.62,3317600.0
2022-03-14,27.83,29.45,27.77,29.07,29.07,7465800.0
2022-03-15,29.14,30.3,29.14,30.11,30.11,8468700.0
2022-03-16,29.09,29.29,25.39,26.11,26.11,24945400.0
2022-03-17,25.94,26.13,25.47,25.93,25.93,12040800.0
2022-03-18,26.26,27.57,26.18,27.45,27.45,32955400.0
2022-03-21,27.33,27.64,26.69,27.2,27.2,5494800.0
2022-03-22,27.25,27.65,26.93,27.39,27.39,4395024.0
