Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,27.42,27.42,27.12,27.19,27.19,6723300
2022-04-19,27.21,27.31,27.05,27.05,27.05,5161200
2022-04-20,27.2,27.24,27.05,27.13,27.13,4802900
2022-04-21,27.15,27.22,26.88,26.92,26.92,4510900
2022-04-22,26.97,27.08,26.71,26.82,26.82,3790400
2022-04-25,26.82,26.91,26.27,26.77,26.77,8686300
2022-04-26,26.69,26.85,26.24,26.31,26.31,5178900
2022-04-27,26.39,26.57,26.17,26.33,26.33,2653000
2022-04-28,26.46,26.98,26.28,26.84,26.84,2949200
2022-04-29,26.79,27.02,26.5,26.81,26.81,3097400
2022-05-02,26.79,27.07,26.74,26.84,26.84,2886300
2022-05-03,26.88,26.9,26.63,26.75,26.75,3098200
2022-05-04,26.75,26.85,26.42,26.76,26.76,6066900
2022-05-05,26.71,26.83,26.6,26.71,26.71,2602900
2022-05-06,26.72,26.76,26.45,26.64,26.64,3319400
2022-05-09,26.48,26.56,25.67,25.7,25.7,4347100
2022-05-10,25.96,26.11,25.11,25.84,25.84,4285800
2022-05-11,25.8,26.16,25.54,25.67,25.67,3340800
2022-05-12,25.66,26.01,25.44,25.65,25.65,3388800
2022-05-13,25.82,25.83,25.03,25.14,25.14,6062800
2022-05-16,24.95,25.14,24.75,25.01,25.01,2947437
