Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,37.4,37.68,36.7,36.84,36.84,2767600.0
2022-02-24,37.21,38.22,36.65,38.18,38.18,3555000.0
2022-02-25,38.43,38.81,37.31,37.99,37.99,2549200.0
2022-02-28,37.71,38.17,37.0,37.84,37.84,2724200.0
2022-03-01,37.69,37.71,35.96,36.54,36.54,3868400.0
2022-03-02,36.69,37.94,36.5,37.73,37.73,2893300.0
2022-03-03,37.73,38.28,37.36,37.38,37.38,2516700.0
2022-03-04,36.95,37.64,36.68,37.56,37.56,3015000.0
2022-03-07,37.48,38.83,37.4,38.01,38.01,3822500.0
2022-03-08,37.91,38.42,37.34,37.44,37.44,4305100.0
2022-03-09,37.83,38.29,37.43,37.9,37.9,3462800.0
2022-03-10,37.63,37.67,36.82,37.65,37.65,2309700.0
2022-03-11,37.83,38.73,37.74,38.48,38.48,2699800.0
2022-03-14,39.09,39.44,38.27,38.69,38.69,2922500.0
2022-03-15,38.82,39.28,38.11,38.92,38.92,2669000.0
2022-03-16,39.04,39.76,38.65,39.2,39.2,2618900.0
2022-03-17,39.07,39.37,38.58,38.68,38.68,2516300.0
2022-03-18,38.51,38.79,37.88,37.91,37.91,10766500.0
2022-03-21,37.6,38.08,37.09,37.19,37.19,3151600.0
2022-03-22,37.33,38.06,37.33,37.57,37.57,2364496.0
