Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,100.64,104.19,100.64,103.92,103.51,2844800
2021-09-28,103.47,104.31,100.46,102.92,102.51,2421600
2021-09-29,103.7,104.62,99.11,99.79,99.79,2370600
2021-09-30,100.71,101.74,98.45,98.49,98.49,2544600
2021-10-01,98.44,99.13,93.8,97.65,97.65,4788700
2021-10-04,98.0,99.59,95.94,96.78,96.78,3073800
2021-10-05,97.44,99.24,96.2,98.7,98.7,2395400
2021-10-06,95.38,97.36,94.08,95.99,95.99,3402200
2021-10-07,98.44,100.82,97.91,98.95,98.95,3234200
2021-10-08,99.11,100.12,97.53,97.97,97.97,2446700
2021-10-11,99.95,101.89,98.56,98.62,98.62,2378300
2021-10-12,99.0,100.86,98.35,99.6,99.6,2194000
2021-10-13,100.23,100.75,98.53,100.34,100.34,2692900
2021-10-14,101.46,103.82,100.67,101.23,101.23,2386300
2021-10-15,102.77,104.39,101.65,101.78,101.78,2487500
2021-10-18,99.47,102.68,98.8,102.53,102.53,2687600
2021-10-19,102.31,103.47,100.66,103.3,103.3,2190700
2021-10-20,102.89,106.55,101.99,105.16,105.16,3660500
2021-10-21,100.23,102.47,98.0,102.07,102.07,4479400
2021-10-22,102.14,103.92,100.8,102.33,102.33,3151400
2021-10-25,103.14,109.99,102.22,109.42,109.42,4502700
2021-10-26,109.75,114.07,107.16,111.64,111.64,3633470
