Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,272.29,313.65,271.18,298.01,297.97,115363100
2021-11-05,301.87,314.0,294.1,297.52,297.48,85072800
2021-11-08,301.49,311.0,299.07,308.04,308.0,50310100
2021-11-09,322.82,323.1,299.64,306.57,306.53,64674600
2021-11-10,293.56,308.5,287.78,294.59,294.55,63620600
2021-11-11,304.68,305.9,297.77,303.9,303.86,33217200
2021-11-12,300.1,306.8,296.3,303.9,303.86,41215100
2021-11-15,305.52,306.44,292.47,300.25,300.21,38490900
2021-11-16,297.59,303.9,297.06,302.03,301.99,26448400
2021-11-17,304.18,305.09,288.0,292.61,292.57,42850800
2021-11-18,323.67,327.6,313.21,316.75,316.71,78171100
2021-11-19,322.43,330.88,319.05,329.85,329.81,53386700
2021-11-22,335.17,346.47,319.0,319.56,319.52,75433500
2021-11-23,315.35,323.6,308.8,317.46,317.42,53216300
2021-11-24,314.61,328.55,309.28,326.74,326.7,43516200
2021-11-26,326.0,327.1,313.5,315.03,314.99,28306900
2021-11-29,323.66,334.12,320.36,333.76,333.72,45496400
2021-11-30,331.69,333.53,318.64,326.76,326.72,62206600
2021-12-01,332.19,332.89,313.8,314.35,314.35,48436800
2021-12-02,312.14,324.78,310.25,321.26,321.26,47289000
2021-12-03,320.0,321.29,301.3,306.93,306.93,54382300
