Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,24.23,24.27,23.59,23.74,23.5,1941500
2021-11-05,23.98,24.35,23.88,24.13,23.88,1948700
2021-11-08,24.24,24.48,24.15,24.42,24.17,2316300
2021-11-09,24.25,24.62,24.25,24.47,24.22,1711200
2021-11-10,24.35,24.7,24.07,24.11,23.86,1728600
2021-11-11,24.15,24.45,24.08,24.33,24.08,1106900
2021-11-12,24.4,24.73,24.22,24.26,24.01,1447800
2021-11-15,24.46,24.5,23.89,23.96,23.71,1485900
2021-11-16,23.97,24.1,23.63,23.65,23.41,2409000
2021-11-17,23.41,23.7,23.29,23.45,23.21,1693900
2021-11-18,23.46,23.7,22.51,22.68,22.45,3194000
2021-11-19,22.54,22.79,22.3,22.67,22.44,2039700
2021-11-22,22.68,23.26,22.63,23.03,22.79,1654500
2021-11-23,23.16,23.35,22.94,23.15,22.91,1897700
2021-11-24,22.95,23.27,22.82,22.99,22.75,2133600
2021-11-26,22.35,22.6,22.06,22.46,22.23,1436300
2021-11-29,22.43,22.48,21.89,22.35,22.35,3188600
2021-11-30,22.14,22.22,21.24,21.47,21.47,9812300
2021-12-01,21.84,22.03,20.86,20.88,20.88,3897300
2021-12-02,20.98,21.78,20.95,21.6,21.6,7104300
2021-12-03,21.76,21.81,21.52,21.75,21.75,2574100
