Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,21.15,21.34,20.96,21.18,21.18,1769700
2022-04-19,21.23,21.79,21.11,21.73,21.73,2199700
2022-04-20,21.82,22.0,21.48,21.87,21.87,3122600
2022-04-21,22.06,22.2,21.32,21.35,21.35,1997100
2022-04-22,21.23,21.32,20.74,20.86,20.86,2423400
2022-04-25,20.76,20.91,20.31,20.88,20.88,2756400
2022-04-26,20.63,20.7,20.05,20.05,20.05,1906100
2022-04-27,19.96,20.35,19.91,20.26,20.26,2536700
2022-04-28,20.33,20.53,20.03,20.42,20.42,1872900
2022-04-29,20.31,20.55,19.84,19.86,19.86,2537700
2022-05-02,19.93,20.31,19.76,20.22,20.22,2881800
2022-05-03,20.29,20.42,19.91,20.21,20.21,3285400
2022-05-04,20.21,20.9,20.14,20.85,20.85,2381600
2022-05-05,20.75,20.8,19.4,19.73,19.73,3161000
2022-05-06,19.13,19.22,16.54,17.11,17.11,7510500
2022-05-09,16.91,17.64,16.91,17.5,17.5,6307700
2022-05-10,17.6,18.0,17.2,17.57,17.57,5591500
2022-05-11,17.43,17.96,16.87,16.9,16.9,5200600
2022-05-12,16.69,17.39,16.67,17.38,17.38,6613300
2022-05-13,17.5,17.96,17.33,17.84,17.84,3456400
2022-05-16,17.83,17.9,17.48,17.63,17.63,2717147
