Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,215.99,219.43,215.0,219.26,219.26,2326300
2021-11-05,220.0,224.79,219.95,224.25,224.25,2835800
2021-11-08,223.66,227.5,221.26,223.08,223.08,3829600
2021-11-09,223.24,223.38,218.34,221.05,221.05,1625200
2021-11-10,218.46,220.19,212.77,214.22,214.22,2262000
2021-11-11,223.26,223.34,214.15,219.1,219.1,4639700
2021-11-12,219.58,220.54,214.41,217.82,217.82,2829000
2021-11-15,221.0,221.0,215.19,215.68,215.68,2003200
2021-11-16,215.2,219.97,214.4,219.26,219.26,1497200
2021-11-17,219.26,219.26,215.67,217.81,217.81,1376500
2021-11-18,218.76,220.67,216.36,220.58,220.58,2494200
2021-11-19,220.58,221.81,219.64,221.26,221.26,2124200
2021-11-22,222.31,225.66,219.44,221.87,221.87,2846000
2021-11-23,221.41,224.09,215.57,219.12,219.12,2070000
2021-11-24,216.6,221.22,214.32,221.03,221.03,1630900
2021-11-26,213.12,217.56,210.25,212.45,212.45,1776500
2021-11-29,216.75,224.26,215.1,223.94,223.94,2412900
2021-11-30,222.7,227.82,218.3,223.36,223.36,5141600
2021-12-01,227.34,234.68,222.71,223.0,223.0,3222500
2021-12-02,220.27,225.9,218.18,222.73,222.73,1934800
2021-12-03,225.0,228.46,221.56,227.12,227.12,2743300
