Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,66.75,67.15,65.67,65.68,65.45,3989400
2021-09-28,65.42,65.6,64.91,65.0,64.77,4279300
2021-09-29,65.26,66.19,65.2,66.05,65.81,3909300
2021-09-30,66.0,66.05,64.86,64.86,64.86,3495400
2021-10-01,65.25,66.3,64.98,65.85,65.85,2929800
2021-10-04,65.64,66.59,65.54,66.5,66.5,3450600
2021-10-05,66.5,66.57,65.82,66.25,66.25,3118700
2021-10-06,66.09,67.81,65.73,67.75,67.75,3976600
2021-10-07,67.96,68.74,67.7,67.82,67.82,3085700
2021-10-08,67.7,68.08,67.09,67.2,67.2,2029500
2021-10-11,67.23,67.79,67.02,67.76,67.76,2513300
2021-10-12,67.9,69.01,67.61,68.6,68.6,3592800
2021-10-13,68.86,69.09,67.74,68.76,68.76,5539300
2021-10-14,68.99,69.79,68.4,69.62,69.62,4394500
2021-10-15,70.08,70.38,69.47,69.66,69.66,4129700
2021-10-18,69.41,70.44,69.2,70.35,70.35,2435600
2021-10-19,70.53,70.57,69.99,70.04,70.04,3410500
2021-10-20,70.18,71.4,70.1,71.36,71.36,2651000
2021-10-21,71.36,71.8,70.9,71.17,71.17,3054600
2021-10-22,71.27,71.86,71.25,71.75,71.75,2451800
2021-10-25,71.78,74.56,71.75,73.87,73.87,6975400
2021-10-26,73.59,74.23,73.38,74.19,74.19,2647757
