Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,64.71,64.97,62.63,63.44,63.44,2554100
2021-11-05,64.29,64.75,63.89,64.72,64.72,1851200
2021-11-08,65.29,65.5,64.6,64.88,64.88,2158100
2021-11-09,64.87,64.88,63.75,64.67,64.67,2397500
2021-11-10,64.32,64.84,62.04,62.86,62.86,2670400
2021-11-11,62.75,63.53,62.62,63.35,63.35,2068400
2021-11-12,62.91,63.35,62.5,63.09,63.09,1718700
2021-11-15,63.1,63.61,62.27,63.36,63.36,2334500
2021-11-16,63.6,63.81,62.57,63.16,63.16,2006000
2021-11-17,62.8,64.07,62.74,63.5,63.5,2088400
2021-11-18,63.5,64.0,62.62,63.55,63.55,1785300
2021-11-19,62.45,62.89,61.21,61.38,61.38,2983700
2021-11-22,61.4,62.95,61.3,61.94,61.94,3019500
2021-11-23,62.93,64.22,62.77,64.01,64.01,2375400
2021-11-24,63.7,64.91,63.52,64.81,64.81,2372700
2021-11-26,62.05,63.03,60.81,62.47,62.47,1911600
2021-11-29,63.72,63.86,62.2,62.46,62.46,2118900
2021-11-30,61.17,61.62,59.58,59.84,59.84,4330200
2021-12-01,61.5,61.79,58.63,58.65,58.65,2856100
2021-12-02,58.73,60.91,57.7,60.69,60.69,3848000
2021-12-03,61.38,61.72,59.52,60.01,60.01,2423700
