Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,68.08,68.37,66.99,67.63,67.63,1255000
2021-11-05,68.58,69.04,68.24,68.8,68.8,1367700
2021-11-08,69.2,69.35,68.24,69.02,69.02,1525900
2021-11-09,68.84,69.19,68.16,68.99,68.99,1143600
2021-11-10,69.02,70.78,68.97,69.19,69.19,887600
2021-11-11,69.03,69.94,68.53,69.6,69.6,1550800
2021-11-12,69.79,69.82,68.32,68.93,68.93,1202800
2021-11-15,69.0,69.9,68.76,69.03,69.03,1140300
2021-11-16,69.03,69.04,68.01,68.06,68.06,1179000
2021-11-17,68.07,69.47,68.07,69.14,69.14,1738200
2021-11-18,69.05,69.27,67.07,67.71,67.71,1680000
2021-11-19,67.25,67.6,66.43,67.12,67.12,1558800
2021-11-22,67.33,68.27,67.01,68.1,68.1,1451700
2021-11-23,67.79,69.5,67.79,69.11,69.11,1571700
2021-11-24,69.0,69.5,68.29,68.94,68.94,1770100
2021-11-26,66.83,67.78,65.76,67.75,67.75,1539800
2021-11-29,68.16,68.31,66.99,67.47,67.47,2081700
2021-11-30,66.9,67.74,66.1,67.31,67.31,5213000
2021-12-01,68.55,69.08,66.56,66.57,66.57,2497300
2021-12-02,66.93,69.79,66.83,69.09,69.09,2633000
2021-12-03,69.32,70.51,68.76,69.04,69.04,2654100
