Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,74.07,74.38,72.35,72.47,72.47,6807100.0
2022-02-24,70.94,74.94,70.23,74.81,74.81,11240500.0
2022-02-25,74.65,76.83,74.32,76.35,76.35,8291800.0
2022-02-28,75.57,76.7,75.02,75.97,75.97,9233900.0
2022-03-01,75.98,76.5,75.62,76.01,76.01,8752100.0
2022-03-02,76.45,78.86,76.25,78.28,78.28,8527200.0
2022-03-03,78.96,79.04,77.43,78.25,78.25,8203000.0
2022-03-04,77.67,77.91,75.78,76.49,76.49,8841300.0
2022-03-07,76.29,76.39,73.44,74.32,74.32,11110100.0
2022-03-08,73.84,75.23,73.11,73.33,73.33,9134100.0
2022-03-09,74.92,76.95,74.69,76.1,76.1,8959500.0
2022-03-10,75.1,76.85,75.03,76.65,76.65,13812600.0
2022-03-11,76.7,79.9,74.0,77.82,77.82,22787400.0
2022-03-14,77.92,78.6,75.44,77.07,77.07,13306200.0
2022-03-15,78.05,81.54,77.07,80.6,80.6,16847200.0
2022-03-16,81.0,81.23,77.75,79.96,79.96,14071300.0
2022-03-17,79.78,81.29,79.26,80.6,80.6,10462400.0
2022-03-18,79.63,81.99,78.84,81.68,81.68,24174200.0
2022-03-21,81.28,81.98,80.27,80.96,80.96,8131300.0
2022-03-22,81.46,82.23,80.83,81.8,81.8,9136492.0
