Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,76.77,76.8,74.16,74.69,74.69,2771000.0
2022-02-24,73.32,76.93,73.1,76.59,76.59,3807000.0
2022-02-25,76.68,78.78,76.46,78.51,78.51,3005300.0
2022-02-28,77.16,78.93,77.16,78.33,78.33,3918500.0
2022-03-01,78.34,78.48,76.56,77.65,77.65,3501600.0
2022-03-02,78.18,79.0,78.05,78.78,78.78,3266200.0
2022-03-03,79.67,80.54,78.7,79.18,79.18,2660900.0
2022-03-04,78.21,78.58,76.66,77.96,77.96,2967900.0
2022-03-07,77.8,78.09,74.25,74.3,74.3,2768400.0
2022-03-08,74.21,75.23,73.48,73.5,73.5,3249800.0
2022-03-09,74.94,76.2,74.76,75.26,75.26,3050200.0
2022-03-10,74.3,74.55,73.3,73.8,73.8,3981100.0
2022-03-11,73.99,74.11,72.27,72.4,72.4,3290800.0
2022-03-14,73.33,73.38,71.07,71.98,71.98,4014900.0
2022-03-15,72.5,73.91,71.95,73.65,73.65,4655600.0
2022-03-16,74.51,76.83,74.0,75.5,75.5,2692800.0
2022-03-17,75.04,76.44,74.99,76.39,76.39,1868200.0
2022-03-18,76.65,78.37,76.52,77.98,77.98,3807200.0
2022-03-21,77.52,78.17,76.42,77.33,77.33,1805000.0
2022-03-22,77.3,78.58,77.3,77.53,77.53,2593858.0
