Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,29.09,30.65,28.98,30.01,30.0,16567300
2021-11-23,30.66,32.28,30.62,31.92,31.91,21482800
2021-11-24,31.43,32.48,31.39,32.01,32.0,11491000
2021-11-26,29.34,29.88,27.85,29.7,29.69,22787800
2021-11-29,30.8,31.27,29.61,30.06,30.05,15448100
2021-11-30,29.1,29.97,29.02,29.65,29.64,20779600
2021-12-01,30.69,30.97,28.91,28.95,28.94,19000400
2021-12-02,28.53,29.71,27.82,29.65,29.64,18877800
2021-12-03,30.17,30.44,28.72,29.16,29.15,15135200
2021-12-06,29.75,30.26,29.0,29.84,29.83,11188800
2021-12-07,30.31,31.49,30.21,31.12,31.11,13643800
2021-12-08,31.3,31.46,30.74,30.77,30.76,11473700
2021-12-09,30.59,30.86,30.12,30.24,30.24,9111700
2021-12-10,30.68,30.9,29.72,30.77,30.77,9667900
2021-12-13,30.2,30.39,29.05,29.23,29.23,12525700
2021-12-14,28.98,29.64,28.61,28.74,28.74,14116400
2021-12-15,28.66,28.79,27.23,28.52,28.52,19091700
2021-12-16,29.01,29.7,28.31,28.38,28.38,13027200
2021-12-17,28.01,28.48,27.44,28.04,28.04,23302200
2021-12-20,26.9,27.22,26.05,26.98,26.98,21316200
2021-12-21,27.58,28.64,27.53,28.6,28.6,13116200
2021-12-22,28.44,29.27,28.24,28.9,28.9,6805845
