Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,36.36,36.53,35.67,35.97,35.97,4182200
2022-04-19,35.9,36.51,35.77,36.28,36.28,5788100
2022-04-20,34.46,34.56,31.83,33.16,33.16,20866000
2022-04-21,33.61,33.9,31.89,32.31,32.31,8322900
2022-04-22,32.15,32.46,30.72,31.04,31.04,9089800
2022-04-25,30.54,31.43,30.35,31.2,31.2,7009500
2022-04-26,30.72,31.08,29.35,29.37,29.37,8956400
2022-04-27,29.27,29.64,28.58,28.93,28.93,7891100
2022-04-28,29.18,29.28,28.08,29.05,29.05,6742100
2022-04-29,28.99,29.79,28.96,29.12,29.12,7522400
2022-05-02,29.14,30.73,29.09,30.27,30.27,12111200
2022-05-03,28.51,30.05,27.58,29.88,29.88,18703000
2022-05-04,29.77,30.32,28.7,30.18,30.18,13527200
2022-05-05,29.85,30.67,29.28,29.72,29.72,10597700
2022-05-06,29.5,29.5,27.59,27.91,27.91,11243100
2022-05-09,27.24,27.74,26.74,27.44,27.44,9804200
2022-05-10,27.7,28.14,27.12,27.42,27.42,8890300
2022-05-11,27.35,27.86,26.63,26.69,26.69,7066800
2022-05-12,26.53,27.82,26.11,27.12,27.12,11178700
2022-05-13,27.64,28.42,27.4,28.35,28.35,7767400
2022-05-16,28.47,28.73,27.76,28.02,28.02,7074496
