Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,124.86,126.82,124.02,124.38,124.38,1424300
2021-11-23,124.07,125.62,123.73,125.47,125.47,1511000
2021-11-24,124.89,125.65,124.56,125.08,125.08,1421700
2021-11-26,124.32,125.18,122.18,122.45,122.45,886300
2021-11-29,123.71,124.44,122.92,123.73,123.73,1824600
2021-11-30,123.79,124.0,118.29,119.2,119.2,3420300
2021-12-01,120.74,121.48,117.76,117.8,117.8,1956700
2021-12-02,118.48,121.35,118.38,120.65,120.65,1396800
2021-12-03,120.74,121.29,118.7,119.8,119.8,1285300
2021-12-06,120.92,122.25,120.55,121.93,121.93,1529700
2021-12-07,122.63,123.99,122.63,123.13,123.13,1214600
2021-12-08,123.51,124.18,122.4,123.04,123.04,1357700
2021-12-09,123.04,123.46,122.08,122.32,122.32,1106800
2021-12-10,122.76,124.29,122.41,124.25,124.25,1168400
2021-12-13,124.32,124.96,123.07,124.4,124.4,1404900
2021-12-14,123.47,124.23,121.26,122.43,122.43,1778300
2021-12-15,122.67,125.52,122.5,125.28,125.28,1472200
2021-12-16,125.85,126.43,124.02,124.65,124.65,1512400
2021-12-17,124.14,125.55,123.55,123.89,123.89,3246000
2021-12-20,122.18,123.87,121.55,123.8,123.8,1586100
2021-12-21,124.69,126.75,124.18,126.43,126.43,2583400
2021-12-22,129.83,135.46,127.0,132.38,132.38,3336623
