Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,18.47,18.47,17.77,17.9,17.9,6347500
2021-11-05,18.06,18.24,17.85,17.97,17.97,5350800
2021-11-08,18.07,18.24,17.96,18.12,18.12,7775200
2021-11-09,18.01,18.03,17.76,17.9,17.9,6327400
2021-11-10,17.89,18.19,17.89,18.08,18.08,4604500
2021-11-11,18.05,18.47,18.02,18.4,18.4,4768700
2021-11-12,18.36,18.58,18.23,18.46,18.46,5006800
2021-11-15,18.55,18.76,18.45,18.55,18.55,3756900
2021-11-16,18.52,18.68,18.4,18.55,18.55,4276100
2021-11-17,18.47,18.67,18.32,18.63,18.63,3687100
2021-11-18,18.68,18.8,18.3,18.44,18.44,7123500
2021-11-19,18.09,18.35,17.84,18.15,18.15,3755700
2021-11-22,18.36,18.89,18.36,18.72,18.72,5823400
2021-11-23,18.85,18.93,18.73,18.83,18.83,3786500
2021-11-24,18.84,18.94,18.59,18.73,18.73,2498300
2021-11-26,17.95,18.1,17.54,17.82,17.82,3683800
2021-11-29,18.16,18.17,17.57,17.73,17.73,5509100
2021-11-30,17.44,17.54,16.9,17.04,17.04,7753500
2021-12-01,17.37,17.7,16.63,16.64,16.64,5418000
2021-12-02,16.83,17.62,16.66,17.42,17.42,5345500
2021-12-03,17.4,17.43,16.87,17.0,17.0,4788900
