Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,34.92,35.16,34.19,34.29,33.99,2340000
2021-11-05,34.2,34.9,34.15,34.24,34.24,2913600
2021-11-08,34.17,34.33,33.67,34.0,34.0,2956200
2021-11-09,34.0,34.17,33.74,33.98,33.98,2178200
2021-11-10,33.79,34.23,33.79,33.99,33.99,3436100
2021-11-11,33.9,34.19,33.48,34.18,34.18,2665200
2021-11-12,34.32,34.36,33.69,33.81,33.81,1669600
2021-11-15,33.84,34.18,33.57,34.16,34.16,2040800
2021-11-16,34.22,34.35,33.85,34.18,34.18,3958700
2021-11-17,33.99,35.05,33.52,34.99,34.99,3214700
2021-11-18,35.08,35.16,34.67,34.83,34.83,2903800
2021-11-19,34.88,34.91,34.14,34.21,34.21,2553000
2021-11-22,34.13,34.28,33.81,33.88,33.88,2106400
2021-11-23,33.89,34.39,33.75,34.22,34.22,2054900
2021-11-24,34.28,34.78,34.22,34.69,34.69,1550600
2021-11-26,34.13,34.23,33.73,33.9,33.9,1446100
2021-11-29,34.2,34.41,33.85,34.06,34.06,1951300
2021-11-30,33.81,33.97,32.83,32.86,32.86,6227300
2021-12-01,33.29,33.89,32.5,32.51,32.51,2954000
2021-12-02,32.79,33.7,32.69,33.52,33.52,2996900
2021-12-03,33.54,33.76,33.17,33.49,33.49,2503500
