Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,35.92,38.06,35.9,37.38,37.38,3706900
2022-04-12,37.8,39.08,36.53,36.86,36.86,3205700
2022-04-13,36.5,38.34,36.5,37.87,37.87,2783100
2022-04-14,38.09,38.39,37.23,37.27,37.27,2671900
2022-04-18,36.97,37.27,35.98,36.89,36.89,3400200
2022-04-19,37.02,39.89,36.85,38.9,38.9,4646100
2022-04-20,38.83,39.48,38.32,38.43,38.43,2462900
2022-04-21,39.38,39.78,36.68,37.04,37.04,3471400
2022-04-22,37.13,37.69,35.7,36.55,36.55,3239600
2022-04-25,37.03,38.57,36.79,38.35,38.35,6400300
2022-04-26,37.95,38.43,36.3,36.69,36.69,3388300
2022-04-27,36.73,37.88,35.6,36.76,36.76,3910200
2022-04-28,37.39,38.49,36.15,37.88,37.88,3720500
2022-04-29,38.02,38.9,36.51,36.57,36.57,3877800
2022-05-02,36.91,37.82,36.06,37.7,37.7,4628100
2022-05-03,37.84,38.83,37.11,38.53,38.53,3341300
2022-05-04,38.74,38.95,36.21,38.73,38.73,6468100
2022-05-05,39.11,39.24,35.9,36.56,36.56,5746700
2022-05-06,36.14,36.19,33.92,34.33,34.33,5678600
2022-05-09,33.57,34.07,32.38,33.4,33.4,2626118
