Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,171.22,172.31,169.96,170.42,170.42,3086000
2022-04-19,169.84,173.17,169.84,172.9,172.9,3642000
2022-04-20,173.72,175.97,173.72,175.47,175.47,4197600
2022-04-21,175.76,177.24,174.65,174.84,174.84,3701300
2022-04-22,174.99,175.27,171.94,172.15,172.15,5864000
2022-04-25,173.21,173.92,171.0,173.74,173.74,7369900
2022-04-26,173.97,175.35,172.73,173.3,173.3,7386600
2022-04-27,173.42,176.69,173.19,174.85,174.85,5180300
2022-04-28,174.53,177.62,173.82,177.5,177.5,5235800
2022-04-29,177.41,177.41,171.41,171.71,171.71,6504900
2022-05-02,173.0,173.46,165.27,167.76,167.76,7692100
2022-05-03,169.14,169.31,166.58,167.99,167.99,5564900
2022-05-04,167.61,174.12,167.61,173.86,173.86,6231500
2022-05-05,173.1,173.32,169.08,170.39,170.39,6534300
2022-05-06,169.24,170.8,168.72,170.41,170.41,5824600
2022-05-09,169.66,172.89,168.76,171.7,171.7,7269100
2022-05-10,173.12,174.54,170.75,171.49,171.49,5936700
2022-05-11,170.82,172.41,169.92,170.66,170.66,5376900
2022-05-12,171.25,171.99,168.16,170.4,170.4,6473500
2022-05-13,170.7,174.16,169.46,173.72,173.72,4713900
2022-05-16,173.71,176.3,173.42,175.47,175.47,4910858
