Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,47.59,48.16,46.78,46.87,46.87,25793000.0
2022-02-24,45.86,46.76,45.4,45.96,45.96,44227300.0
2022-02-25,45.81,48.03,45.74,47.72,47.72,31199200.0
2022-02-28,46.82,47.17,46.34,46.94,46.94,35285300.0
2022-03-01,46.69,47.14,45.44,45.75,45.75,29854500.0
2022-03-02,46.11,47.93,46.0,47.7,47.7,36516200.0
2022-03-03,47.68,48.59,47.48,47.83,47.83,30553300.0
2022-03-04,47.5,48.77,47.41,48.65,48.65,33217300.0
2022-03-07,48.25,48.84,47.52,47.98,47.98,33171300.0
2022-03-08,47.58,48.42,46.47,47.44,47.44,32913300.0
2022-03-09,48.13,49.22,48.0,48.75,48.75,24718900.0
2022-03-10,48.31,49.29,48.05,49.2,49.2,24542300.0
2022-03-11,49.14,50.9,48.94,50.27,50.27,33696000.0
2022-03-14,50.72,52.91,50.39,52.25,52.25,42314500.0
2022-03-15,52.62,52.92,51.18,52.21,52.21,30172100.0
2022-03-16,52.54,53.27,52.18,52.92,52.92,29891400.0
2022-03-17,52.92,54.25,52.79,54.24,54.24,30598600.0
2022-03-18,54.38,55.0,53.71,54.51,54.51,51766200.0
2022-03-21,54.24,55.3,53.9,54.19,54.19,34592500.0
2022-03-22,54.2,54.32,52.49,53.04,53.04,32244969.0
