Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,69.19,69.19,67.37,68.46,67.84,1270600
2021-11-05,69.0,69.95,68.64,68.95,68.33,774600
2021-11-08,69.14,69.83,68.6,68.77,68.15,616200
2021-11-09,68.23,68.69,67.77,68.31,67.69,706300
2021-11-10,68.29,69.02,67.9,68.46,67.84,696000
2021-11-11,68.59,69.47,68.38,69.21,68.59,476700
2021-11-12,69.14,69.67,68.67,69.59,68.96,679200
2021-11-15,70.3,71.78,69.9,71.69,71.04,2870500
2021-11-16,72.1,72.93,71.7,72.11,71.46,1808200
2021-11-17,71.92,72.11,70.75,71.59,70.94,1699300
2021-11-18,71.54,71.78,70.71,71.22,70.58,1472200
2021-11-19,70.73,71.3,69.52,70.87,70.23,2455200
2021-11-22,71.12,73.14,70.76,72.32,71.67,2158900
2021-11-23,72.68,73.79,71.99,73.54,72.88,2882600
2021-11-24,73.22,74.3,72.87,73.93,73.26,2484300
2021-11-26,71.18,71.74,69.9,70.91,70.27,1709500
2021-11-29,72.06,72.15,70.23,70.92,70.28,1720400
2021-11-30,69.62,69.79,68.26,68.58,68.58,2777100
2021-12-01,69.95,70.43,67.72,67.76,67.76,2534000
2021-12-02,68.18,70.54,68.0,70.07,70.07,2158100
2021-12-03,69.47,70.19,68.66,69.18,69.18,2558900
