Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,158.48,158.98,156.53,157.06,156.18,6034500
2022-04-19,156.77,160.03,156.3,159.41,158.52,7897000
2022-04-20,160.5,164.48,160.0,163.65,162.74,10196100
2022-04-21,163.82,164.9,162.43,162.61,162.61,9365700
2022-04-22,163.24,163.52,160.91,161.25,161.25,9394600
2022-04-25,161.7,163.29,159.8,162.55,162.55,6986800
2022-04-26,162.68,163.64,159.75,159.79,159.79,7769500
2022-04-27,160.21,161.45,159.11,159.36,159.36,6754900
2022-04-28,160.54,163.71,159.27,163.41,163.41,9306800
2022-04-29,162.47,162.95,160.2,160.55,160.55,10636000
2022-05-02,161.6,162.0,156.19,158.38,158.38,10351600
2022-05-03,158.22,158.99,155.01,156.21,156.21,10344000
2022-05-04,155.83,157.55,155.15,157.36,157.36,7771000
2022-05-05,156.3,157.29,153.14,154.46,154.46,8217100
2022-05-06,154.77,156.24,153.87,156.0,156.0,7303500
2022-05-09,153.96,156.76,152.75,155.61,155.61,8540800
2022-05-10,155.55,156.62,153.94,154.79,154.79,7447400
2022-05-11,154.03,155.9,152.35,152.61,152.61,7692200
2022-05-12,153.52,153.61,149.88,151.99,151.99,9600800
2022-05-13,152.58,153.73,150.42,153.62,153.62,5675200
2022-05-16,153.47,155.9,152.03,155.12,155.12,5196600
