Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,109.59,110.77,108.9,109.64,109.64,2221600
2022-04-19,109.56,111.45,108.89,111.15,111.15,2639100
2022-04-20,111.64,113.17,111.38,113.04,113.04,2147600
2022-04-21,113.59,116.21,112.91,113.02,113.02,2825000
2022-04-22,112.57,112.71,108.23,108.34,108.34,2263700
2022-04-25,108.19,110.89,107.01,110.56,110.56,2662100
2022-04-26,109.51,111.0,108.41,108.41,108.41,2502400
2022-04-27,108.83,109.3,106.7,106.95,106.95,3365400
2022-04-28,107.69,110.62,106.35,110.42,110.42,2696400
2022-04-29,109.66,109.71,107.22,107.36,107.36,2771100
2022-05-02,108.16,110.48,107.31,110.33,110.33,4227700
2022-05-03,110.55,113.26,110.36,112.23,112.23,3121800
2022-05-04,112.59,115.91,111.88,115.84,115.84,2960100
2022-05-05,114.98,115.66,111.56,112.41,112.41,2202900
2022-05-06,112.0,112.95,108.31,109.46,109.46,3653200
2022-05-09,109.5,110.18,107.86,108.75,108.75,2743700
2022-05-10,110.17,110.94,107.52,108.27,108.27,3449600
2022-05-11,107.77,110.14,107.38,107.87,107.87,2404400
2022-05-12,108.01,109.03,106.95,108.8,108.8,3275900
2022-05-13,109.56,109.72,107.1,107.82,107.82,2253000
2022-05-16,108.49,110.86,108.32,109.75,109.75,4149931
