Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,48.88,49.82,48.75,49.08,49.08,2068300
2021-11-05,49.59,50.7,49.43,50.43,50.43,2583000
2021-11-08,50.45,50.67,49.83,50.27,50.27,2039700
2021-11-09,50.71,52.27,50.62,51.91,51.91,2608600
2021-11-10,51.45,52.05,50.54,50.62,50.62,2804100
2021-11-11,50.95,51.38,50.68,50.7,50.7,2812600
2021-11-12,50.99,51.6,50.75,51.36,51.36,1829200
2021-11-15,51.47,51.54,50.45,50.57,50.57,1821400
2021-11-16,50.76,52.01,50.48,51.52,51.52,1721200
2021-11-17,51.46,52.46,51.07,52.36,52.36,2592000
2021-11-18,52.5,52.66,51.62,51.74,51.74,1716600
2021-11-19,51.9,53.71,51.86,52.25,52.25,3572000
2021-11-22,52.54,52.93,51.68,52.42,52.42,1953900
2021-11-23,52.26,53.03,51.86,52.9,52.9,1431000
2021-11-24,52.85,53.25,52.3,52.65,52.65,1469000
2021-11-26,51.6,52.52,50.86,51.59,51.59,1516600
2021-11-29,51.76,52.19,51.03,51.51,51.51,1822500
2021-11-30,51.13,52.17,49.76,50.03,50.03,3505500
2021-12-01,50.8,51.79,50.06,50.07,50.07,2579100
2021-12-02,51.21,52.73,50.37,52.49,52.49,2947600
2021-12-03,52.73,53.03,51.72,52.09,52.09,2713000
